,Squad,npxG,npxG,npxG+xAG,npxG+xAG,xAG,xAG,xG,xG,Ast,Ast,G+A,G+A,G+A-PK,G-PK,G-PK,Gls,Gls,xG+xAG,CrdR,CrdY,PK,PKatt,90s,MP,Min,Starts,PrgC,PrgP,# Pl,Age,Poss,Season
98,Watford,42.6,1.12,74.0,1.95,31.4,0.83,48.9,1.29,0.55,21,1.47,56,1.29,0.74,28,0.92,35,2.11,3.0,80.0,7,8,38.0,38,3420,418,578.0,1168.0,26,28.9,42.9,2019-2020
99,West Ham,45.4,1.2,82.2,2.16,36.7,0.97,48.6,1.28,0.95,36,2.24,85,2.13,1.18,45,1.29,49,2.24,1.0,64.0,4,4,38.0,38,3420,418,666.0,1377.0,29,27.4,44.1,2019-2020
100,Wolves,51.0,1.34,88.5,2.33,37.5,0.99,54.1,1.42,0.89,34,2.18,83,2.08,1.18,45,1.29,49,2.41,2.0,61.0,4,4,38.0,38,3420,418,858.0,1338.0,21,26.6,48.3,2019-2020
101,Arsenal,56.0,1.47,102.7,2.7,46.7,1.23,60.1,1.58,1.37,52,3.18,121,3.08,1.71,65,1.82,69,2.81,2.0,73.0,4,5,38.0,38,3420,418,868.0,1874.0,28,26.7,58.1,2018-2019
102,Bournemouth,46.2,1.22,85.0,2.24,38.8,1.02,53.3,1.4,1.13,43,2.58,98,2.39,1.26,48,1.45,55,2.42,1.0,60.0,7,9,38.0,38,3420,418,738.0,1435.0,28,26.6,46.9,2018-2019
103,Brighton,30.7,0.81,55.2,1.45,24.5,0.64,35.3,0.93,0.63,24,1.55,59,1.42,0.79,30,0.92,35,1.57,4.0,61.0,5,6,38.0,38,3420,418,475.0,1150.0,21,27.4,42.4,2018-2019
104,Burnley,42.8,1.13,74.0,1.95,31.2,0.82,44.4,1.17,0.84,32,1.97,75,1.92,1.08,41,1.13,43,1.99,1.0,75.0,2,2,38.0,38,3420,418,421.0,1032.0,23,28.0,41.2,2018-2019
105,Cardiff City,39.2,1.03,66.8,1.76,27.6,0.73,42.4,1.11,0.53,20,1.39,53,1.32,0.79,30,0.87,33,1.84,1.0,66.0,3,4,38.0,38,3420,418,434.0,918.0,25,27.7,35.4,2018-2019
106,Chelsea,54.6,1.44,99.6,2.62,44.9,1.18,58.6,1.54,1.37,52,2.97,113,2.84,1.47,56,1.61,61,2.72,0.0,49.0,5,5,38.0,38,3420,418,1058.0,2155.0,24,27.3,62.9,2018-2019
107,Crystal Palace,39.2,1.03,68.7,1.81,29.5,0.78,47.6,1.25,0.87,33,2.13,81,1.87,1.0,38,1.26,48,2.03,2.0,58.0,10,11,38.0,38,3420,418,771.0,1458.0,26,27.4,45.2,2018-2019
108,Everton,45.7,1.2,79.4,2.09,33.7,0.89,49.7,1.31,0.89,34,2.29,87,2.24,1.34,51,1.39,53,2.19,4.0,56.0,2,5,38.0,38,3420,418,697.0,1581.0,23,25.7,51.5,2018-2019
109,Fulham,39.0,1.03,69.0,1.82,30.0,0.79,41.3,1.09,0.63,24,1.5,57,1.45,0.82,31,0.87,33,1.88,2.0,70.0,2,3,38.0,38,3420,418,628.0,1487.0,28,26.0,48.8,2018-2019
110,Huddersfield,28.0,0.74,47.9,1.26,19.9,0.52,28.8,0.76,0.34,13,0.89,34,0.87,0.53,20,0.55,21,1.28,4.0,56.0,1,1,38.0,38,3420,418,601.0,1248.0,31,26.2,47.2,2018-2019
111,Leicester City,47.3,1.24,84.9,2.23,37.6,0.99,52.4,1.38,0.89,34,2.16,82,2.03,1.13,43,1.26,48,2.37,5.0,60.0,5,7,38.0,38,3420,418,752.0,1537.0,25,25.9,50.9,2018-2019
112,Liverpool,68.4,1.8,118.2,3.11,49.8,1.31,73.7,1.94,1.45,55,3.71,141,3.53,2.08,79,2.26,86,3.25,2.0,39.0,7,7,38.0,38,3420,418,857.0,2008.0,23,26.1,61.8,2018-2019
113,Manchester City,81.3,2.14,146.7,3.86,65.5,1.72,84.3,2.22,1.87,71,4.26,162,4.18,2.32,88,2.39,91,3.94,1.0,44.0,3,4,38.0,38,3420,418,1325.0,2429.0,21,26.7,67.9,2018-2019
114,Manchester Utd,52.0,1.37,91.6,2.41,39.6,1.04,61.4,1.62,1.05,40,2.76,105,2.53,1.47,56,1.71,65,2.66,4.0,75.0,9,12,38.0,38,3420,418,801.0,1668.0,28,26.3,54.7,2018-2019
115,Newcastle Utd,36.7,0.97,64.1,1.69,27.4,0.72,39.1,1.03,0.87,33,1.95,74,1.92,1.05,40,1.08,41,1.75,2.0,57.0,1,3,38.0,38,3420,418,467.0,985.0,24,26.9,40.4,2018-2019
116,Southampton,43.4,1.14,72.7,1.91,29.3,0.77,46.9,1.23,0.71,27,1.87,71,1.76,1.05,40,1.16,44,2.0,3.0,73.0,4,5,38.0,38,3420,418,603.0,1333.0,30,25.4,43.4,2018-2019
117,Tottenham,51.8,1.36,90.9,2.39,39.1,1.03,54.9,1.44,1.24,47,2.97,113,2.87,1.63,62,1.74,66,2.47,3.0,57.0,4,4,38.0,38,3420,418,840.0,1744.0,28,26.8,59.0,2018-2019
118,Watford,47.5,1.25,82.3,2.17,34.8,0.92,48.2,1.27,1.03,39,2.37,90,2.34,1.32,50,1.34,51,2.19,4.0,79.0,1,1,38.0,38,3420,418,588.0,1294.0,25,28.5,46.7,2018-2019
119,West Ham,43.8,1.15,77.9,2.05,34.1,0.9,47.6,1.25,0.87,33,2.21,84,2.08,1.21,46,1.34,51,2.15,1.0,59.0,5,5,38.0,38,3420,418,731.0,1478.0,26,27.6,48.6,2018-2019
120,Wolves,49.0,1.29,88.4,2.33,39.4,1.04,52.1,1.37,0.92,35,2.13,81,2.03,1.11,42,1.21,46,2.41,1.0,73.0,4,4,38.0,38,3420,418,743.0,1350.0,21,26.1,46.8,2018-2019
121,Arsenal,64.3,1.69,117.6,3.1,53.3,1.4,68.3,1.8,1.61,61,3.53,134,3.42,1.82,69,1.92,73,3.2,,,4,5,38.0,38,3420,418,915.0,2223.0,30,26.8,61.4,2017-2018
122,Bournemouth,36.4,0.96,65.5,1.72,29.1,0.77,38.8,1.02,0.95,36,2.13,81,2.05,1.11,42,1.18,45,1.79,,,3,3,38.0,38,3420,418,702.0,1526.0,22,26.9,48.1,2017-2018
123,Brighton,31.8,0.84,58.0,1.53,26.2,0.69,37.0,0.97,0.66,25,1.53,58,1.39,0.74,28,0.87,33,1.66,,,5,7,38.0,38,3420,418,523.0,1230.0,24,27.5,43.7,2017-2018
124,Burnley,32.3,0.85,55.9,1.47,23.6,0.62,32.3,0.85,0.68,26,1.61,61,1.61,0.92,35,0.92,35,1.47,,,0,0,38.0,38,3420,418,431.0,1103.0,24,27.5,43.7,2017-2018
125,Chelsea,52.0,1.37,93.5,2.46,41.5,1.09,54.4,1.43,1.11,42,2.68,102,2.61,1.5,57,1.58,60,2.52,,,3,3,38.0,38,3420,418,1045.0,1998.0,26,26.7,55.6,2017-2018
126,Crystal Palace,45.9,1.21,79.2,2.08,33.3,0.88,53.5,1.41,0.68,26,1.84,70,1.63,0.95,36,1.16,44,2.28,,,8,10,38.0,38,3420,418,727.0,1308.0,28,27.1,45.2,2017-2018
127,Everton,34.1,0.9,58.8,1.55,24.7,0.65,40.5,1.07,0.68,26,1.79,68,1.66,0.97,37,1.11,42,1.71,,,5,8,38.0,38,3420,418,477.0,1161.0,30,26.7,45.5,2017-2018
128,Huddersfield,29.8,0.78,53.5,1.41,23.7,0.62,31.3,0.82,0.5,19,1.16,44,1.11,0.61,23,0.66,25,1.45,,,2,2,38.0,38,3420,418,627.0,1210.0,25,26.4,45.7,2017-2018
129,Leicester City,45.3,1.19,80.2,2.11,34.9,0.92,50.0,1.32,1.0,38,2.39,91,2.26,1.26,48,1.39,53,2.24,,,5,6,38.0,38,3420,418,655.0,1271.0,27,27.2,48.0,2017-2018
130,Liverpool,70.6,1.86,123.3,3.24,52.7,1.39,72.9,1.92,1.53,58,3.68,140,3.63,2.11,80,2.16,82,3.31,,,2,3,38.0,38,3420,418,982.0,2236.0,27,25.6,60.3,2017-2018
131,Manchester City,72.7,1.91,130.6,3.44,57.9,1.52,78.6,2.07,2.24,85,4.95,188,4.79,2.55,97,2.71,103,3.59,,,6,8,38.0,38,3420,418,1308.0,2570.0,25,26.4,71.0,2017-2018
132,Manchester Utd,53.3,1.4,93.8,2.47,40.5,1.07,55.7,1.47,1.39,53,3.16,120,3.13,1.74,66,1.76,67,2.53,,,1,3,38.0,38,3420,418,920.0,1564.0,27,26.7,54.7,2017-2018
133,Newcastle Utd,40.9,1.08,72.9,1.92,32.1,0.84,41.6,1.1,0.76,29,1.76,67,1.76,1.0,38,1.0,38,1.94,,,0,1,38.0,38,3420,418,548.0,1145.0,27,25.6,41.7,2017-2018
134,Southampton,37.6,0.99,67.0,1.76,29.5,0.78,39.9,1.05,0.61,23,1.55,59,1.47,0.87,33,0.95,36,1.83,,,3,3,38.0,38,3420,418,694.0,1609.0,26,26.2,51.3,2017-2018
135,Stoke City,34.1,0.9,61.4,1.62,27.4,0.72,36.5,0.96,0.74,28,1.63,62,1.63,0.89,34,0.89,34,1.68,,,0,3,38.0,38,3420,418,477.0,1150.0,30,27.5,41.4,2017-2018
136,Swansea City,30.8,0.81,51.0,1.34,20.2,0.53,31.6,0.83,0.53,20,1.24,47,1.21,0.68,26,0.71,27,1.36,,,1,1,38.0,38,3420,418,596.0,1194.0,26,27.2,45.3,2017-2018
137,Tottenham,62.3,1.64,111.3,2.93,49.0,1.29,64.7,1.7,1.34,51,3.18,121,3.13,1.79,68,1.84,70,2.99,,,2,3,38.0,38,3420,418,862.0,2249.0,25,25.8,61.8,2017-2018
138,Watford,40.2,1.06,69.4,1.83,29.2,0.77,45.0,1.19,0.71,27,1.82,69,1.74,1.03,39,1.11,42,1.95,,,3,6,38.0,38,3420,418,647.0,1455.0,29,27.9,49.7,2017-2018
139,West Brom,35.7,0.94,61.6,1.62,25.9,0.68,36.5,0.96,0.63,24,1.45,55,1.42,0.79,30,0.82,31,1.64,,,1,1,38.0,38,3420,418,507.0,1106.0,24,29.1,40.7,2017-2018
140,West Ham,33.6,0.88,58.4,1.54,24.9,0.65,36.7,0.97,0.76,29,2.03,77,1.97,1.21,46,1.26,48,1.62,,,2,4,38.0,38,3420,418,523.0,1179.0,27,28.0,45.2,2017-2018
141,Arsenal,,,,,,,,,1.45,55,3.37,128,3.26,1.82,69,1.92,73,,0.0,0.0,4,6,38.0,38,3420,418,,,29,26.9,58.9,2016-2017
142,Bournemouth,,,,,,,,,0.87,33,2.26,86,2.08,1.21,46,1.39,53,,2.0,0.0,7,10,38.0,38,3420,418,,,27,27.0,51.5,2016-2017
143,Burnley,,,,,,,,,0.63,24,1.66,63,1.5,0.87,33,1.03,39,,1.0,0.0,6,6,38.0,38,3420,418,,,27,27.7,40.3,2016-2017
144,Chelsea,,,,,,,,,1.39,53,3.58,136,3.53,2.13,81,2.18,83,,0.0,0.0,2,4,38.0,38,3420,418,,,24,27.2,55.1,2016-2017
145,Crystal Palace,,,,,,,,,0.84,32,2.11,80,2.0,1.16,44,1.26,48,,0.0,0.0,4,7,38.0,38,3420,418,,,31,27.7,45.4,2016-2017
146,Everton,,,,,,,,,1.18,45,2.71,103,2.63,1.45,55,1.53,58,,1.0,0.0,3,4,38.0,38,3420,418,,,27,27.5,52.1,2016-2017
147,Hull City,,,,,,,,,0.63,24,1.58,60,1.5,0.87,33,0.95,36,,0.0,0.0,3,3,38.0,38,3420,418,,,28,27.4,45.9,2016-2017
148,Leicester City,,,,,,,,,0.84,32,2.05,78,1.95,1.11,42,1.21,46,,0.0,0.0,4,6,38.0,38,3420,418,,,25,27.8,41.9,2016-2017
149,Liverpool,,,,,,,,,1.37,52,3.39,129,3.21,1.84,70,2.03,77,,0.0,0.0,7,8,38.0,38,3420,418,,,23,26.1,62.0,2016-2017
150,Manchester City,,,,,,,,,1.42,54,3.39,129,3.21,1.79,68,1.97,75,,0.0,0.0,7,9,38.0,38,3420,418,,,25,28.5,65.0,2016-2017
151,Manchester Utd,,,,,,,,,0.97,37,2.39,91,2.32,1.34,51,1.42,54,,1.0,0.0,3,4,38.0,38,3420,418,,,31,26.7,56.5,2016-2017
152,Middlesbrough,,,,,,,,,0.58,22,1.26,48,1.21,0.63,24,0.68,26,,1.0,0.0,2,2,38.0,38,3420,418,,,27,27.3,47.3,2016-2017
153,Southampton,,,,,,,,,0.71,27,1.74,66,1.66,0.95,36,1.03,39,,1.0,0.0,3,6,38.0,38,3420,418,,,26,26.0,54.4,2016-2017
154,Stoke City,,,,,,,,,0.63,24,1.61,61,1.5,0.87,33,0.97,37,,1.0,0.0,4,6,38.0,38,3420,418,,,26,28.7,46.3,2016-2017
155,Sunderland,,,,,,,,,0.29,11,1.03,39,0.89,0.61,23,0.74,28,,3.0,0.0,5,5,38.0,38,3420,418,,,31,26.8,39.7,2016-2017
156,Swansea City,,,,,,,,,0.82,31,2.0,76,1.92,1.11,42,1.18,45,,0.0,0.0,3,3,38.0,38,3420,418,,,27,27.4,47.9,2016-2017
157,Tottenham,,,,,,,,,1.55,59,3.76,143,3.58,2.03,77,2.21,84,,0.0,0.0,7,9,38.0,38,3420,418,,,24,25.3,60.5,2016-2017
158,Watford,,,,,,,,,0.71,27,1.74,66,1.66,0.95,36,1.03,39,,3.0,0.0,3,3,38.0,38,3420,418,,,33,29.0,46.1,2016-2017
159,West Brom,,,,,,,,,0.87,33,2.0,76,1.97,1.11,42,1.13,43,,0.0,0.0,1,1,38.0,38,3420,418,,,23,29.4,37.3,2016-2017
160,West Ham,,,,,,,,,0.74,28,1.95,74,1.87,1.13,43,1.21,46,,4.0,0.0,3,4,38.0,38,3420,418,,,29,27.1,47.1,2016-2017
161,Arsenal,,,,,,,,,1.39,53,3.03,115,3.0,1.61,61,1.63,62,,0.0,0.0,1,2,38.0,38,3420,418,,,25,27.0,58.3,2015-2016
162,Aston Villa,,,,,,,,,0.5,19,1.13,43,1.08,0.58,22,0.63,24,,0.0,0.0,2,2,38.0,38,3420,418,,,29,26.6,46.4,2015-2016
163,Bournemouth,,,,,,,,,0.74,28,1.87,71,1.79,1.05,40,1.13,43,,0.0,0.0,3,4,38.0,38,3420,418,,,28,27.7,51.2,2015-2016
164,Chelsea,,,,,,,,,1.05,40,2.5,95,2.39,1.34,51,1.45,55,,0.0,0.0,4,5,38.0,38,3420,418,,,28,26.8,56.2,2015-2016
165,Crystal Palace,,,,,,,,,0.55,21,1.55,59,1.45,0.89,34,1.0,38,,0.0,0.0,4,5,38.0,38,3420,418,,,30,27.7,45.8,2015-2016
166,Everton,,,,,,,,,1.16,44,2.63,100,2.53,1.37,52,1.47,56,,0.0,0.0,4,5,38.0,38,3420,418,,,31,26.5,51.9,2015-2016
167,Leicester City,,,,,,,,,1.13,43,2.92,111,2.66,1.53,58,1.79,68,,0.0,0.0,10,13,38.0,38,3420,418,,,23,27.7,42.6,2015-2016
168,Liverpool,,,,,,,,,1.32,50,2.95,112,2.89,1.58,60,1.63,62,,0.0,0.0,2,2,38.0,38,3420,418,,,34,25.2,57.2,2015-2016
169,Manchester City,,,,,,,,,1.39,53,3.26,124,3.13,1.74,66,1.87,71,,0.0,0.0,5,8,38.0,38,3420,418,,,25,28.3,56.9,2015-2016
170,Manchester Utd,,,,,,,,,0.82,31,2.03,77,1.95,1.13,43,1.21,46,,0.0,0.0,3,3,38.0,38,3420,418,,,33,25.6,58.5,2015-2016
171,Newcastle Utd,,,,,,,,,0.89,34,2.03,77,1.95,1.05,40,1.13,43,,0.0,0.0,3,3,38.0,38,3420,418,,,31,25.4,46.6,2015-2016
172,Norwich City,,,,,,,,,0.71,27,1.71,65,1.68,0.97,37,1.0,38,,0.0,0.0,1,1,38.0,38,3420,418,,,28,27.7,46.0,2015-2016
173,Southampton,,,,,,,,,1.18,45,2.71,103,2.63,1.45,55,1.53,58,,0.0,0.0,3,4,38.0,38,3420,418,,,26,26.4,49.2,2015-2016
174,Stoke City,,,,,,,,,0.76,29,1.82,69,1.68,0.92,35,1.05,40,,0.0,0.0,5,5,38.0,38,3420,418,,,27,27.4,49.7,2015-2016
175,Sunderland,,,,,,,,,0.79,30,1.95,74,1.87,1.08,41,1.16,44,,0.0,0.0,3,3,38.0,38,3420,418,,,31,27.3,41.0,2015-2016
176,Swansea City,,,,,,,,,0.66,25,1.74,66,1.61,0.95,36,1.08,41,,0.0,0.0,5,5,38.0,38,3420,418,,,27,27.6,52.5,2015-2016
177,Tottenham,,,,,,,,,1.32,50,3.11,118,2.97,1.66,63,1.79,68,,0.0,0.0,5,5,38.0,38,3420,418,,,24,24.5,57.4,2015-2016
178,Watford,,,,,,,,,0.47,18,1.47,56,1.32,0.84,32,1.0,38,,0.0,0.0,6,7,38.0,38,3420,418,,,25,28.2,45.1,2015-2016
179,West Brom,,,,,,,,,0.66,25,1.5,57,1.47,0.82,31,0.84,32,,0.0,0.0,1,5,38.0,38,3420,418,,,28,29.1,39.8,2015-2016
180,West Ham,,,,,,,,,1.0,38,2.68,102,2.58,1.58,60,1.68,64,,0.0,0.0,4,4,38.0,38,3420,418,,,28,26.6,48.4,2015-2016
181,Arsenal,,,,,,,,,1.24,47,3.05,116,2.89,1.66,63,1.82,69,,0.0,0.0,6,7,38.0,38,3420,418,,,29,26.1,56.6,2014-2015
182,Aston Villa,,,,,,,,,0.61,23,1.42,54,1.39,0.79,30,0.82,31,,0.0,0.0,1,1,38.0,38,3420,418,,,27,26.3,49.0,2014-2015
183,Burnley,,,,,,,,,0.58,22,1.29,49,1.26,0.68,26,0.71,27,,0.0,0.0,1,2,38.0,38,3420,418,,,24,27.2,42.5,2014-2015
184,Chelsea,,,,,,,,,1.55,59,3.45,131,3.34,1.79,68,1.89,72,,0.0,0.0,4,5,38.0,38,3420,418,,,25,27.0,55.9,2014-2015
185,Crystal Palace,,,,,,,,,0.71,27,1.92,73,1.79,1.08,41,1.21,46,,0.0,0.0,5,7,38.0,38,3420,418,,,30,27.8,40.4,2014-2015
186,Everton,,,,,,,,,0.82,31,2.05,78,1.95,1.13,43,1.24,47,,0.0,0.0,4,7,38.0,38,3420,418,,,28,27.9,54.7,2014-2015
187,Hull City,,,,,,,,,0.58,22,1.42,54,1.39,0.82,31,0.84,32,,0.0,0.0,1,1,38.0,38,3420,418,,,29,27.4,44.2,2014-2015
188,Leicester City,,,,,,,,,0.76,29,1.95,74,1.87,1.11,42,1.18,45,,0.0,0.0,3,3,38.0,38,3420,418,,,28,27.9,43.5,2014-2015
189,Liverpool,,,,,,,,,0.79,30,2.05,78,1.92,1.13,43,1.26,48,,0.0,0.0,5,6,38.0,38,3420,418,,,25,25.2,55.8,2014-2015
190,Manchester City,,,,,,,,,1.61,61,3.76,143,3.58,1.97,75,2.16,82,,0.0,0.0,7,8,38.0,38,3420,418,,,24,28.6,59.8,2014-2015
191,Manchester Utd,,,,,,,,,1.08,41,2.66,101,2.58,1.5,57,1.58,60,,0.0,0.0,3,5,38.0,38,3420,418,,,33,26.0,61.2,2014-2015
192,Newcastle Utd,,,,,,,,,0.79,30,1.84,70,1.82,1.03,39,1.05,40,,0.0,0.0,1,1,38.0,38,3420,418,,,27,25.9,47.7,2014-2015
193,QPR,,,,,,,,,0.76,29,1.79,68,1.71,0.95,36,1.03,39,,0.0,0.0,3,5,38.0,38,3420,418,,,32,28.2,45.2,2014-2015
194,Southampton,,,,,,,,,0.84,32,2.13,81,2.08,1.24,47,1.29,49,,0.0,0.0,2,3,38.0,38,3420,418,,,29,26.0,53.1,2014-2015
195,Stoke City,,,,,,,,,0.79,30,2.03,77,1.95,1.16,44,1.24,47,,0.0,0.0,3,3,38.0,38,3420,418,,,25,27.4,50.4,2014-2015
196,Sunderland,,,,,,,,,0.53,20,1.32,50,1.21,0.68,26,0.79,30,,0.0,0.0,4,4,38.0,38,3420,417,,,25,27.8,45.2,2014-2015
197,Swansea City,,,,,,,,,0.89,34,2.03,77,1.97,1.08,41,1.13,43,,0.0,0.0,2,2,38.0,38,3420,418,,,27,26.6,50.1,2014-2015
198,Tottenham,,,,,,,,,1.05,40,2.53,96,2.45,1.39,53,1.47,56,,0.0,0.0,3,5,38.0,38,3420,418,,,27,24.4,57.0,2014-2015
199,West Brom,,,,,,,,,0.76,29,1.74,66,1.63,0.87,33,0.97,37,,0.0,0.0,4,5,38.0,38,3420,418,,,26,28.0,43.7,2014-2015
200,West Ham,,,,,,,,,0.89,34,2.03,77,2.0,1.11,42,1.13,43,,0.0,0.0,1,2,38.0,38,3420,418,,,28,26.8,45.6,2014-2015
201,Arsenal,,,,,,,,,1.26,48,3.05,116,2.97,1.71,65,1.79,68,,0.0,0.0,3,3,38.0,38,3420,418,,,27,26.8,,2013-2014
202,Aston Villa,,,,,,,,,0.66,25,1.66,63,1.61,0.95,36,1.0,38,,0.0,0.0,2,4,38.0,38,3420,418,,,26,24.6,,2013-2014
203,Cardiff City,,,,,,,,,0.63,24,1.45,55,1.42,0.79,30,0.82,31,,0.0,0.0,1,1,38.0,38,3420,418,,,32,25.4,,2013-2014
204,Chelsea,,,,,,,,,1.03,39,2.84,108,2.71,1.68,64,1.82,69,,0.0,0.0,5,7,38.0,38,3420,418,,,29,27.7,,2013-2014
205,Crystal Palace,,,,,,,,,0.55,21,1.39,53,1.26,0.71,27,0.84,32,,0.0,0.0,5,6,38.0,38,3420,418,,,31,28.1,,2013-2014
206,Everton,,,,,,,,,1.11,42,2.63,100,2.55,1.45,55,1.53,58,,0.0,0.0,3,3,38.0,38,3420,418,,,28,27.6,,2013-2014
207,Fulham,,,,,,,,,0.74,28,1.74,66,1.68,0.95,36,1.0,38,,0.0,0.0,2,3,38.0,38,3420,418,,,39,29.0,,2013-2014
208,Hull City,,,,,,,,,0.55,21,1.47,56,1.42,0.87,33,0.92,35,,0.0,0.0,2,3,38.0,38,3420,418,,,27,27.5,,2013-2014
209,Liverpool,,,,,,,,,1.61,61,4.16,158,3.89,2.29,87,2.55,97,,0.0,0.0,10,12,38.0,38,3420,418,,,25,25.7,,2013-2014
210,Manchester City,,,,,,,,,1.66,63,4.21,160,4.05,2.39,91,2.55,97,,0.0,0.0,6,7,38.0,38,3420,418,,,23,27.7,,2013-2014
211,Manchester Utd,,,,,,,,,0.97,37,2.63,100,2.5,1.53,58,1.66,63,,0.0,0.0,5,5,38.0,38,3420,418,,,30,26.7,,2013-2014
212,Newcastle Utd,,,,,,,,,0.66,25,1.74,66,1.68,1.03,39,1.08,41,,0.0,0.0,2,3,38.0,38,3420,418,,,26,26.4,,2013-2014
213,Norwich City,,,,,,,,,0.47,18,1.21,46,1.18,0.71,27,0.74,28,,0.0,0.0,1,2,38.0,38,3420,418,,,25,26.3,,2013-2014
214,Southampton,,,,,,,,,0.97,37,2.34,89,2.26,1.29,49,1.37,52,,0.0,0.0,3,3,38.0,38,3420,418,,,24,25.1,,2013-2014
215,Stoke City,,,,,,,,,0.68,26,1.84,70,1.74,1.05,40,1.16,44,,0.0,0.0,4,5,38.0,38,3420,418,,,26,27.3,,2013-2014
216,Sunderland,,,,,,,,,0.63,24,1.71,65,1.55,0.92,35,1.08,41,,0.0,0.0,6,6,38.0,38,3420,418,,,31,26.5,,2013-2014
217,Swansea City,,,,,,,,,0.97,37,2.21,84,2.11,1.13,43,1.24,47,,0.0,0.0,4,4,38.0,38,3420,418,,,27,26.5,,2013-2014
218,Tottenham,,,,,,,,,0.87,33,2.18,83,2.05,1.18,45,1.32,50,,0.0,0.0,5,6,38.0,38,3420,418,,,28,25.2,,2013-2014
219,West Brom,,,,,,,,,0.71,27,1.79,68,1.74,1.03,39,1.08,41,,0.0,0.0,2,2,38.0,38,3420,418,,,28,28.4,,2013-2014
